Smiles,PDSC
Cc1ccc(Nc2ccccc2)cc1,4.176326
CCCCC(CC)COC(=O)CNc1cccc(OC)c1OC,4.509601
CCCCCCCCCCCCN(C)Cc1cccc(NCC(O)c2ccc(OC)cc2)c1,18.820232
CCNc1ccc(CN(C)CCOCCOC)cc1C,3.845644
CCCCN(CCC)c1cc(CN(CCO)CCOC)cc(Nc2ccc(C)cc2)c1,28.602850
CCCCCCN(CCN(CC(C)C)CCC)c1ccc(Nc2n[nH]c(C)c2C)cc1,50.025879
CCc1cccc(CC)c1NCC(O)CN(C)Cc1ccc(OC)cc1,15.615974
CCCCCCCCCCCCN(CCO)c1ccc(NCc2ccc(N(C)C)cc2)cc1,57.875397
CCCN(CCC)c1nc2ccccc2nc1NCCCN(CCC)CCCC,45.819736
CCOCCCN(CCC)Cc1ccc(CNCCc2ccc(O)cc2)cc1,4.654984
CCCOc1ccc(NC(C)CCCN(C)C)nc1,3.744267
CCCCCCCCCCCCCCC(CO)Nc1ccc(-c2ccc(OC)cc2)cn1,12.661482
CCCCN(C)c1ccc(NCC(C)(C)OC)nc1,4.468080
CCCCCCN(CCO)c1ccc(NCCc2ccc(OC)cc2)cc1,17.172298
CCN(CC)CCCNC(C)c1ccc(NCc2ccco2)cc1,14.173301
CCCCN(CCCC)c1ccc(N(CCCC)CCCO)cc1NCCCO,67.733856
CCCCCCCCC(CNC(=S)Nc1ccccc1)N(C)Cc1cccc(OC)c1,14.158501
CCCCN(CCCC)c1cccc(NCC(O)c2cccn2C)c1,70.565628
CCCCN(C)c1ccc(NC(=O)COC(C)C)cc1,10.394352
CCCCCCCCN(CC(=O)OC)c1ccc(O)cc1,4.402592
CCCCCCCCCCCCCCNc1cc(-c2ccc(N(C)C)cc2)c(CO)cn1,14.797415
CCCCC(CC)CN(CCCCCC)c1nc(C)c(C)c(Nc2ccc(C)cc2)n1,22.522274
CCCN(CCC)CCOc1cccc(CNCc2ccccc2O)c1,10.006347
CCCN(CCC)C(CO)c1ccc(NCCc2ccc(OC)cc2)cc1,14.688128
CCCCN(CCC)c1ccc2cc(O)ccc2c1CN(CCC)CCCCNC,52.706623
CCCCCCCCCCCCOc1ccc(-c2ccc(NCCO)c(OCC)c2)cc1,68.488884
CCCCCCCCCCc1cc2ccc(NCCCCCC)cc2n1CCN(C)C,56.732414
CCCN(CCC)CCCNc1cc(N(CCC)CCC)c2ccccc2n1,51.250977
CCc1cc(Cc2ccc(OCCCCCCN(CC)CC)cc2)c(O)c(C(C)C)c1O,78.286270
CCCCCCCCCCCCCCCCNc1ncc(-c2ccc(N(C)C)cc2)[nH]1,45.123966
CCCCCCN(CCCCCCCC)c1ccc(Nc2cc(CO)ccc2C)nc1,48.265266
CCCCN(CCCC)CCCNCc1ccc(O)c2ncccc12,6.592512
CCc1ccc(NC(c2cccc(OC)c2O)N(C)CCC(C)C)cc1,11.696068
CCCCC(C)(C)CN(CCO)c1ccc(-c2ccc(OCCCCCC)cc2)cc1O,62.809681
CCCN(CCC)c1ccc(NCC(O)c2ccc(OC)cc2)c(C)c1,24.650009
CCCCCCN(CCCC)c1cc(CNC(C)CC)c(O)c(-c2ccccn2)c1,20.791563
CCCCCCCCCCCC(C)NC(=S)Nc1cc(C(C)(C)C)nn1Cc1ccccc1,32.157829
CCCCCCN(CCC)c1cc(CC)nc(NCc2ccc(CCCC)cc2)c1,28.304695
CCCCCCCCCCNc1nc(CCCCCCC)cc(-c2ccc(C)cc2)n1,14.215160
CCCCN(CCCC)c1nc(CC)c(CC)c(CC)c1-c1cc(C)c(C)cc1NC,41.094803
CCc1cc2c(NCCCN(CC)CC)ccc(N(CCC)CCC)c2cc1CC,60.843304
CCCCCCc1c(CCCC)n(CCCCCC)c2ccc(NCCC)cc12,5.794227
CCCCN(CCCC)c1nc(CC)c(CC)c(NCc2ccc(C)cc2)c1C,32.566486
CCCCCCn1cc(CCCC)c(-c2ccc(CCCCCC)cc2)c1NCCC,50.118393
CCCCCCN(CCCCCC)c1ccc(-c2ccc(NCCC)c(CC)c2)cc1,30.945698
CCCCCCN(CCCC)c1nc(C)cc(Nc2c(C)cc(CC)cc2C)c1C,35.888081
